Dress_type,Brand,Actual_price,Disc_price,Image
RAJMANDIR FABRICS Women's Cotton Straight Printed Kurta Pant With Dupatta Set,RAJMANDIRFABRICS,3499.0,1049.0,https://m.media-amazon.com/images/I/81PHDm4ZomS._AC_UL320_.jpg
Women's Cotton Printed Anarkali Kurta(IE10KT0NB1201),INDO ERA,1399.0,639.0,https://m.media-amazon.com/images/I/81rxnZD6xpL._AC_UL320_.jpg
Deep Collection Beautiful Rayon Golden Printed Anarkali Kurti and Jacket,Generic,1999.0,599.0,https://m.media-amazon.com/images/I/61ltBqLYjpS._AC_UL320_.jpg
Cotton Printed Kurti(VCK1136_Red_Free Size),Vaamsi,999.0,429.0,https://m.media-amazon.com/images/I/61nqZvP3z9L._AC_UL320_.jpg
Women's Cotto Straight Embroidered Kurta Set With Pant And Dupatta,OMASK,1599.0,699.0,https://m.media-amazon.com/images/I/71BW7ubjYTS._AC_UL320_.jpg
Women's Rayon Printed Kurta with Palazzo and Dupatta (Railing Pink_Pink_),ANNI DESIGNER,3599.0,699.0,https://m.media-amazon.com/images/I/61fvW2UXeRS._AC_UL320_.jpg
SHIRTWALAS Jaipuri Rajasthani Rayon Straight Kurti with Plazzo for Women & Girls Dress -XvygzK,Generic,1799.0,590.0,https://m.media-amazon.com/images/I/71tWSx1As2L._AC_UL320_.jpg
Womens Rayon Kurtis Pant AND Dupatta set,ONECLICK,1100.0,1049.0,https://m.media-amazon.com/images/I/61-SwG-06KL._AC_UL320_.jpg
"Women's Cotton Jaipuri Printed Trending Sleeveless Anarkali Kurta (Black and White , 2XL )",Kanika Fashion,1299.0,371.0,https://m.media-amazon.com/images/I/719x7iEbOyL._AC_UL320_.jpg
Women's Rayon Lace Work Straight Kurta and Sharara Set/Ethnic wear/Tradtional Wear/Kurti Botton Set/Kurti Sharara Set,SINGNI,1599.0,664.0,https://m.media-amazon.com/images/I/71gb1OOda2L._AC_UL320_.jpg
Shree Krishna Fabrics Handprinted Women's Rayon Anarkali Kurti With Banarasi Dupatta Set (Royal Blue Color Anarkali & Pink Banarasi Dupatta Set),Generic,1199.0,635.0,https://m.media-amazon.com/images/I/61ZfHrsarZL._AC_UL320_.jpg
Women's Regular Kurti,Amazon Brand - Myx,999.0,249.0,https://m.media-amazon.com/images/I/91L7m04vpsL._AC_UL320_.jpg
Rayon Cotton Kurtis/Kurtas for Women 910,PRISCILLA,1999.0,899.0,https://m.media-amazon.com/images/I/816SmhaNP7L._AC_UL320_.jpg
Women Maroon Straight Cotton Kurti Pant Set with Dupatta (SD096),NAINVISH,2999.0,699.0,https://m.media-amazon.com/images/I/61Kn3+gvrrL._AC_UL320_.jpg
Women's Crepe Kurta,Janasya,1199.0,589.0,https://m.media-amazon.com/images/I/71rq275rIGL._AC_UL320_.jpg
Women's Light Brown Poly Silk Straight Kurta,Janasya,1199.0,469.0,https://m.media-amazon.com/images/I/816beUBQ-7L._AC_UL320_.jpg
DVC Latest Women's Rayon Straight Kurti with Sharara Palazzo for Women & Girls| Round Neck Kurti Sharara Set| 3/4 Sleeve Kurti for Women |,Generic,2999.0,589.0,https://m.media-amazon.com/images/I/617teerBDpL._AC_UL320_.jpg
Women's Regular Short Kurti,Amazon Brand - Myx,799.0,249.0,https://m.media-amazon.com/images/I/91fH+3M5bmL._AC_UL320_.jpg
Women's Regular Kurta,1 Stop Fashion,999.0,199.0,https://m.media-amazon.com/images/I/71ipQ-PlDAS._AC_UL320_.jpg
Women's Cotton Embroidred Kurta With Pant Set (Green),Sanganeri Kurti,2999.0,599.0,https://m.media-amazon.com/images/I/81h27ERT4AL._AC_UL320_.jpg
Yash Gallery Women's Plus Size Cotton Geometric Print Anarkali Kurta (Mustard),Yash Gallery,2999.0,569.0,https://m.media-amazon.com/images/I/81yb6ApKRvS._AC_UL320_.jpg
Women's Rayon Anarkali Kurta,Asean,1749.0,549.0,https://m.media-amazon.com/images/I/817xl7tT8hL._AC_UL320_.jpg
Women's Cotton Buta Print Anarkali Kurta (Black),KIPEK,2399.0,938.0,https://m.media-amazon.com/images/I/71vMumYvJdL._AC_UL320_.jpg
Women's Straight KURTA &AND DUPATTA &PANT Set (Medium),ONECLICK,1999.0,987.0,https://m.media-amazon.com/images/I/51e7T2Hy-WL._AC_UL320_.jpg
Women's crepe straight Kurti,1 Stop Fashion,5183.0,1273.0,https://m.media-amazon.com/images/I/9104H0MCzdL._AC_UL320_.jpg
Crepe Printed Kurti(VPK1779_Pink_Free Size),Vaamsi,999.0,299.0,https://m.media-amazon.com/images/I/71T-Q52-b6L._AC_UL320_.jpg
Women's Crepe a-line Kurta,Vaamsi,999.0,299.0,https://m.media-amazon.com/images/I/61rgqY4Xl2L._AC_UL320_.jpg
Women's Cotton Regular Kurta,Pistaa's,1599.0,770.0,https://m.media-amazon.com/images/I/71pylDStCoL._AC_UL320_.jpg
Women's Rayon Printed Kurta Palazzo Set,Radhika Fashion,1999.0,635.0,https://m.media-amazon.com/images/I/61tqoyFapsL._AC_UL320_.jpg
Women's Cotton Straight Kurta with Trousers & Dupatta,GoSriKi,3999.0,659.0,https://m.media-amazon.com/images/I/61jDkzhBMxS._AC_UL320_.jpg
Women's Cotton Block Printed Kurta with Palazzo (AIRPOT-Blue),GoSriKi,3599.0,599.0,https://m.media-amazon.com/images/I/61GXq+bXQwS._AC_UL320_.jpg
Cotton Kurti,AnjuShree Choice,2384.0,550.0,https://m.media-amazon.com/images/I/71Lm+f5gldS._AC_UL320_.jpg
Women's Kurti,1 Stop Fashion,5533.0,1273.0,https://m.media-amazon.com/images/I/91Kvq3YuxEL._AC_UL320_.jpg
Women's Pure Cambric Cotton Jaipuri Printed Straight Kurti (Ready To Wear; Navy Blue And Red; S To XXL),Rajnandini,1996.0,525.0,https://m.media-amazon.com/images/I/91gqfKLix3L._AC_UL320_.jpg
Women's Crepe Regular Kurta,Vaamsi,999.0,299.0,https://m.media-amazon.com/images/I/61tZ6U8VDQL._AC_UL320_.jpg
"Women Rayon Printed Kurta Palazzo & Dupatta Set, Pink",PARTHVI,3999.0,899.0,https://m.media-amazon.com/images/I/31Cqe+bQ-gS._AC_UL320_.jpg
Women's A-Line Kurta,Vaamsi,999.0,299.0,https://m.media-amazon.com/images/I/61H6j5IxyrL._AC_UL320_.jpg
Women's Khadi Kurti,Niksa Fashion,899.0,559.0,https://m.media-amazon.com/images/I/517HNlxUi-L._AC_UL320_.jpg
Crepe Digital Printed Kurti(VPK1609A_Pink_Free Size),Vaamsi,860.0,299.0,https://m.media-amazon.com/images/I/61H+Bl4B22L._AC_UL320_.jpg
Women's Cotton Anarkali Kurta and Dupatta (Without Palazzo),ANNI DESIGNER,2599.0,699.0,https://m.media-amazon.com/images/I/615Jb4uolOL._AC_UL320_.jpg
Women's Cotton Block Print Kurta,FRILLE,3190.0,699.0,https://m.media-amazon.com/images/I/81bVzQfgBML._AC_UL320_.jpg
Women's Rayon Printed Kurti with Pant Set (Yellow),Generic,1999.0,690.0,https://m.media-amazon.com/images/I/31-tiodks1S._AC_UL320_.jpg
Women's Cotton Straight Kurta,Max,399.0,299.0,https://m.media-amazon.com/images/I/81ju+0SqoyL._AC_UL320_.jpg
Women's Pure Cotton Flower Print Kurta Plazzo Set,Kurti Craft,2099.0,599.0,https://m.media-amazon.com/images/I/51BkE-Y4NpS._AC_UL320_.jpg
Women's Kurta,BIBA,1499.0,570.0,https://m.media-amazon.com/images/I/71sj2RR2+cL._AC_UL320_.jpg
Women Anarkali Kurta with Dupatta in Rayon (Bottle Green),Generic,2599.0,660.0,https://m.media-amazon.com/images/I/41ShV6DdAXL._AC_UL320_.jpg
Women's Pure Cotton Printed Anarkali Kurta(Pink),Glam Roots,1999.0,639.0,https://m.media-amazon.com/images/I/81CSHPKeInL._AC_UL320_.jpg
Cotton Printed Kurti(VCK1066_Blue_Free Size),Vaamsi,999.0,429.0,https://m.media-amazon.com/images/I/610bp8JMyqS._AC_UL320_.jpg
